Variable / Field Name,Field Label,Candidate / No Candidate,Inclusion / Exclusion Criteria,Leak / No Leak,Date / No Date,Engineered / Not Engineered,Form Name,sub-category,Field Type
hiv_postrx,HIV viral load Post-Rx,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
hiv_prerx,HIV viral load Pre-Rx,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
hive_cd4prerx,CD 4 Count Pre-Rx,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,,text
hyperthy_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hyperthy_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
hyperthy_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
hyperthy_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hyperthy_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hyperthy_toxicity_grade,Grade of toxicity for hyperthyroidism,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypophy_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypophy_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypophy_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypophy_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypophy_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypophy_toxicity_grade,Grade of toxicity for hypophysitis,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypothy_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypothy_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypothy_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
hypothy_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypothy_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
hypothy_toxicity_grade,Grade of toxicity for hypothyroidism,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
ici_combination,ICI Combination Type,Candidate,No Criteria,No Leak,No Date,Engineered,,,
ici_mechanism,ICI Mechanism Category,Candidate,No Criteria,No Leak,No Date,Engineered,,,
immhem_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immhem_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
immhem_res,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
immhem_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immhem_symp,Symptoms Resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immhem_toxicity_grade,Grade of hematological toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
immneuro_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immneuro_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
immneuro_res_2,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
immneuro_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immneuro_symp,Symptoms Resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
immneuro_toxicity_grade,Grade of neurological toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
institute,Institute,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,dropdown
io_agent1,Current Immuno-therapy initial single or combination therapy,Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,Other,radio
io_dose1date,Date of 1st dose,No Candidate,Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,Immunotherapy Treatment,text
io_lastdosedate,Date of last dose of combination or initial single agent,No Candidate,Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,,text
io_toxicities,What adverse events was the patient diagnosed with between date of first dose and the date of the last dose,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,checkbox
io_toxicity,Did the patient experience any I-O toxicities?,Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,Toxicities and Adverse Events,yesno
irae_onset,Date of First irAE Onset,No Candidate,Criteria,Leak,Date,Engineered,,,
jointpain_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
jointpain_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
jointpain_res,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
jointpain_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
jointpain_symp,Symptoms Resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
jointpain_toxicity_grade,Grade of joint paint or arthritis toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
lastdosedate_2nd,Date of last dose of 2nd agent (maintenance) if initial treatment with COMBO,No Candidate,No Criteria,No Leak,Date,Not Engineered,treatment_with_immunotherapy,,text
lastname,Patient Last Name,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
lymphoma_other,"Specify Lymphoma, Other",No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
met_iotx,Was metastatic disease present before IO therapy,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
metastasis,Metastasis,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,checkbox
metastatic_sites,Total number of metastatic sites,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,radio
miscarriages,Number of miscarriages,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,radio
mrn,MRN,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
mrn_aria,Full MRN,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
msi_status,MicroSatellite Instability (MSI) status,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
multiple_primary,"If multiple, specify which cancers",Candidate,Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Current Cancer,text
muscskel_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
muscskel_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
muscskel_res,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
muscskel_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
muscskel_symp,Symptoms Resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
muscskel_toxicity_grade,Grade of musculoskeletal toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
mut_alk,ALK,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_braf,BRAF,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,radio
mut_egfr,EGFR,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_er,ER,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_her2,HER2,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_kras,KRAS,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_nras,NRAS,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,radio
mut_other,Other mutations this patient was tested for,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
mut_pdl1,"If tested, report the percent of PD L -1 expression",Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,text
mut_pr,PR,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
mut_ros,ROS,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
nephrotox_grade,Grade of nephrological toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
nephrotox_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
nephrotox_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
nephrotox_res,Date of Resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
nephrotox_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
nephrotox_symp,Symptoms Resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
neurotox_descrptn,Please describe the neurological toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
no_abortions,Number of abortions,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
nom_tx,List out Non Oncology Medication,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
num_brain_mets_before_io,Number of brain mets treated before I-O therapy,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,dropdown
num_brain_mets_beg_io,"Total number of brain metastasis at the beginning of the I-O therapy (both treated and untreated)
",No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
num_cancer_fam,How many members of  patient's family have a history of cancer?,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,radio
numdoses_2ndagent,"Number of doses of second agent
",No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
numofdoses,Number of doses,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,Other,text
onset_cancerreg,Onset date as per cancer registry,No Candidate,No Criteria,No Leak,Date,Not Engineered,current_cancer_hx,,text
onsetdate,Onset Date (biopsy date or radiology imaging which lead to treatment decision for I-O therapy),No Candidate,No Criteria,No Leak,Date,Not Engineered,current_cancer_hx,,text
oppor_infec_yes,Please explain,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
oppr_infection,Did the patient experience any opportunistic infection?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
other_cancer,"If other, specify the current cancer diagnosis",No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
other_cancersubtype,"Is other, please specify the cancer subtype",Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
other_comorb,"If other, specify the comorbidity",No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Other,text
other_date_relapse,Date of relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_dose_steroid,Steroids Initial dose,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
other_metastasis,"If other, please specify",No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,text
other_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_rel_res,Date of resolution after relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_relapse,Relapse of adverse event with continuation of treatment,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
other_resolution,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
other_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
other_therapy,"If other, specify drug/s",No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
other_toxicity,Grade of toxicity for other adverse event,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
other_txtype,Type of treatment,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
packs_per_day,Number of packs smoked per day,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
para,Number of times this patient has successfully delivered a live baby,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
pdli_test,Test used to check PD L -1 expression,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
pfs,Progression Free Survival in months,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
pneum_date_relapse,Date of relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
pneum_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_rel_res,Date of resolution after relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_relapse,Relapse of pneumonitis with continuation of immunotherapy,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
pneum_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_steroid_dose,Steroids Initial dose,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
pneum_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
pneum_toxicity_grade,Grade of toxicity for pneumonitis,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
pneum_txtype,Type of treatment,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
post_bmi,Post treatment BMI,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
pre_bmi,Pre treatment BMI,Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,Other,text
pre_bmi_calculated,Pre treatment BMI,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,Other,calc
pre_bsa_calculated,Pre treatment BSA,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,calc
prev_cancer_history_other,Please specify which other cancer,No Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Cancer History,text
prev_cancer_hx,Does this patient have previous history of cancer prior to the current cancer that IO is given for?,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Cancer History,yesno
prev_cancer_hx_type,Please specify what history of cancer type this patient had,Candidate,No Criteria,No Leak,No Date,Not Engineered,medical_history,Cancer History,checkbox
prev_io_agent,Previous Immuno-therapy initial single or combination therapy,No Candidate,Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,radio
prevrx_io_therapy,Was the patient previously treated with an Immuno-therapy?,Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,Immunotherapy Treatment,yesno
prevrx_io_therapynumber,"Number of previous Immuno-therapies  before current Immuno-therapy?
",Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,radio
progression_date,Date of Progression,No Candidate,No Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,Other,text
progression_recist_yn,Does this patient have disease progression as per RECIST?,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,Other,yesno
puritis_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
puritis_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
puritis_resolution,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
puritis_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
puritis_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
puritis_toxicity_grade,Grade of toxicity for puritis,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
race,Race,Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,Demographics,radio
rash_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rash_resolution,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
rash_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rash_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rash_toxicity_grade,Grade of toxicity for skin rash,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_doonset,Date of Onset,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_doses,After number of doses,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_grade,Grade of toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rechall_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_recur_doses,Number of doses,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_steroid,Steroids Initial dose,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rechall_toxrecur,Re-currence of previous toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rechall_toxtype,Type of Toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechall_type,Type of re-challenge,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
rechallenge,Re- challenge with previous immunotherapy if   â‰¥ grade 3 toxicity and/or previous discontinuation of treatment,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
rt_necrosis_bevacizumab_yn,Was Bevacizumab used?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
rt_necrosis_streoids_yn,Were steroids used?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
rt_necrosis_yn,Radiation Necrosis,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
skintox_date_relapse,Date of relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_grade,Grade of skin toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_iodiscont,Immunotherapy discontinued,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
skintox_othertx,Any other agent used besides steroids for managements of toxicity?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_rel_res,Date of resolution after relapse,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_relapse,Relapse of skin toxicity with continuation of immunotherapy,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
skintox_res,Date of resolution,No Candidate,No Criteria,Leak,Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_steroids,Systemic Steroids Initial dose,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_steroids_yn,Steroids use,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
skintox_symp,Symptoms resolved,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
skintox_txtype,Type of treatment,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
skintox_type,Type of skin toxicity,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,text
smoke_yrs_quit,How many years has it been since patient quit?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
smoking_hist,Smoking History,Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,Behavioral History,radio
stage,Cancer stage at which the patient is receiving treatment,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,radio
state,State,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,text
stillbirths,Number of stillbirths,No Candidate,No Criteria,No Leak,No Date,Not Engineered,baseline_demographics,,radio
systemic_steroids_use,Were systemic steroids used for treatment of immune related adverse events?,No Candidate,No Criteria,Leak,No Date,Not Engineered,io_toxicities_and_adverse_events,,yesno
targeted_tx,List out the targeted therapy drugs used,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
test_pdl1,Was PD-L1 tested in this patient?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,Other,radio
therapy_type,What therapies/medication are given concurrently with the current Immunotherapy,Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,checkbox
ttf,Time to treatment failure in months,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
ttf_date,Date of Time to Treatment Failure,No Candidate,No Criteria,Leak,Date,Not Engineered,treatment_with_immunotherapy,,text
ttf_noreason,Reason for TTF,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,checkbox
ttf_yn,"Does this patient have Time to Treatment Failure 
 (TTF) information",No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,yesno
tx_disc_combo,"If only one IO agent was discontinued, please specify which one",No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
tx_disc_reason,Why was the treatment discontinued?,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,radio
tx_disc_yn,Was IO treatment discontinued?,No Candidate,No Criteria,Leak,No Date,Not Engineered,treatment_with_immunotherapy,,yesno
type_tx_brain_mets,Type of treatments of brain mets,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
typtx_brainmets_during_io,Type of treatments of brain mets,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
typtx_brainmets_during_io_2,Type of treatments of brain mets,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
typtx_brainmets_during_io_3,Type of treatments of brain mets,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
unreseactable_yn,Does the patient have unresectable disease?,Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
untx_brain_mets_prg_type,Untreated brain mets progression or new lesions,No Candidate,No Criteria,Leak,No Date,Not Engineered,current_cancer_hx,,checkbox
untx_brain_mets_prg_yn,Did the untreated brain mets progress or new lesions develop (during I-O therapy)?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
untx_brain_mets_status,Did the untreated brain mets ....?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,radio
untx_brain_mets_yn,Were there any untreated brain mets present at beginning of I-O therapy?,No Candidate,No Criteria,No Leak,No Date,Not Engineered,current_cancer_hx,,yesno
weight,Weight before first dose,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,text
weight_unit,Indicate the unit for weight,No Candidate,No Criteria,No Leak,No Date,Not Engineered,treatment_with_immunotherapy,,dropdown