"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mrn,baseline_demographics,,text,MRN,,,,,,y,,,,,,,
full_name,baseline_demographics,,text,"Patient Full Name",,,,,,y,,,,,,,
firstname,baseline_demographics,,text,"Patient First name",,,,,,y,,,,,,,
lastname,baseline_demographics,,text,"Patient Last Name",,,,,,y,,,,,,,
institute,baseline_demographics,,dropdown,Institute,"1, GUH: MedStar Georgetown University Hospital | 2, WHC: MedStar Washington Hospital Center | 3, FSH: MedStar Franklin Square Hospital | 4, GSH: MedStar Good Samaritan Hospital | 5, UMH: MedStar Union Memorial Hospital | 6, JTCC: John Theurer Cancer Center | 7, PMC : Palisades Medical Center",,,,,,,,,,,,
mrn_aria,baseline_demographics,,text,"Full MRN",,,,,,y,,,,,,,
race,baseline_demographics,,radio,Race,"1, White | 2, Black or African America | 3, Asian | 4, Native Hawaiian or Other Pacific Islander | 5, American Indian or Alaska Native | 6, Not Specified/Unknown | 7, Other",,,,,,,,,,,,
ethnicity,baseline_demographics,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 3, Unknown",,,,,,,,,,,,
gender,baseline_demographics,,radio,Gender,"1, Male | 2, Female | 3, Not Specified",,,,,,,,,,,,
county,baseline_demographics,,text,County,,,,,,,,,,,,,
state,baseline_demographics,,text,State,,,,,,,,,,,,,
dob,baseline_demographics,,text,"Date of Birth",,,date_mdy,,,,,,,,,,
alive,baseline_demographics,,yesno,"Is the patient alive?",,,,,,,,,,,,,
dod,baseline_demographics,,text,"Date of Death",,,date_mdy,,,,"[alive] = '0'",,,,,,
gravida,baseline_demographics,"Pregnancy Hx",text,"Number of times this patient has been pregnant",,gravida,integer,0,,,"[gender] = '2'",,,,,,
para,baseline_demographics,,text,"Number of times this patient has successfully delivered a live baby",,para,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
first_birth_age,baseline_demographics,,text,"Age of patient at the time of the birth of her first child
",,,,,,,"[gender] = '2' and [gravida] > 0 and [para] > 0",,,,,,
miscarriages,baseline_demographics,,radio,"Number of miscarriages","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 5, Unknown",,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
stillbirths,baseline_demographics,,radio,"Number of stillbirths","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 5, Unknown",,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
no_abortions,baseline_demographics,,text,"Number of abortions",,,,,,,"[gender] = '2' and [gravida] > 0",,,,,,
smoking_hist,baseline_demographics,Smoking,radio,"Smoking History","1, Never Smoked | 2, Occasional Smoking | 3, Previously Smoked, but Quit | 4, Active Smoker | 5, Unknown",,,,,,,,,,,,
packs_per_day,baseline_demographics,,text,"Number of packs smoked per day",,,,,,,"[smoking_hist] = '4' or [smoking_hist] = '2' or [smoking_hist] = '3' or [smoking_hist] = '5'",,,,,,
smoke_yrs_quit,baseline_demographics,,text,"How many years has it been since patient quit?",,,,,,,"[smoking_hist] = '3' or [smoking_hist] = '5' or [smoking_hist] = '2' or [smoking_hist] = '4'",,,,,,
height,baseline_demographics,Height,text,Height,,,,,,,,,,,,,
height_unit,baseline_demographics,,dropdown,"Indicate the unit for height","1, cms | 2, inches",,,,,,,,,,,,
comorbidities,medical_history,,checkbox,Comorbidities,"1, Anxiety disorder | 2, Asthma | 3, Cerebrovascular accident or transient ischemic attack | 4, Chronic Kidney Disease (Moderate to Severe) | 5, Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma | 6, Chronic Obstructive Pulmonary Disease | 7, Congestive Heart Failure | 26, Connective tissue disease | 8, Deep Vein Thrombosis and Pulmonary Embolism | 25, Dementia | 9, Depression | 10, Diabetes uncomplicated | 30, Diabetes with end-organ damage | 11, GERD | 29, Hemiplegia | 12, Hemodialysis | 13, Hepatitis B | 14, Hepatitis C | 15, HIV | 16, Hyperlipidemia | 17, Hypertension | 32, Leukemia | 28, Liver disease (Mild) | 34, Liver disease (Moderate to Severe) | 31, Localized solid tumor | 33, Lymphoma | 35, Metastatic solid tumor | 18, Musculoskeletal pain | 19, Myocardial Infraction/Coronary Artery Disease | 20, Obesity | 22, Pancreatitis | 27, Peptic ulcer disease | 23, Peripheral neuropathy | 24, Peripheral vascular disease | 21, Other",,,,,,,,,,,,
other_comorb,medical_history,,text,"If other, specify the comorbidity",,,,,,,"[comorbidities(21)] = '1'",,,,,,
diag_date_other,medical_history,,text,"Diagnosis date of other comorbidity",,,date_mdy,,,,"[comorbidities(21)] = '1'",,,,,,
diag_date_anx,medical_history,,text,"Diagnosis date of anxiety disorder",,,date_mdy,,,,"[comorbidities(1)] = '1'",,,,,,
diag_date_asthma,medical_history,,text,"Diagnosis date of asthma",,,date_mdy,,,,"[comorbidities(2)] = '1'",,,,,,
diag_date_cer_acc,medical_history,,text,"Diagnosis Date of Cerebrovascular accident",,,date_mdy,,,,"[comorbidities(3)] = '1'",,,,,,
diag_date_ckd,medical_history,,text,"Diagnosis Date of Chronic Kidney Disease",,,date_mdy,,,,"[comorbidities(4)] = '1'",,,,,,
diag_date_cll_ssl,medical_history,,text,"Diagnosis Date of CLL/SLL",,,date_mdy,,,,"[comorbidities(5)] = '1'",,,,,,
diag_date_copd,medical_history,,text,"Diagnosis Date of COPD",,,date_mdy,,,,"[comorbidities(6)] = '1'",,,,,,
diag_date_chf,medical_history,,text,"Diagnosis Date of Congestive Heart Failure",,,date_mdy,,,,"[comorbidities(7)] = '1'",,,,,,
diag_date_ctd,medical_history,,text,"Diagnosis Date of Connective tissue disease",,,date_mdy,,,,"[comorbidities(26)] = '1'",,,,,,
diag_date_dvt_pe,medical_history,,text,"Diagnosis Date of Deep Vein Thrombosis and Pulmonary Embolism",,,date_mdy,,,,"[comorbidities(8)] = '1'",,,,,,
diag_date_dementia,medical_history,,text,"Diagnosis Date of Dementia",,,date_mdy,,,,"[comorbidities(25)] = '1'",,,,,,
diag_date_depression,medical_history,,text,"Diagnosis Date of Depression",,,date_mdy,,,,"[comorbidities(9)] = '1'",,,,,,
diag_date_diabetes_uncomp,medical_history,,text,"Diagnosis Date of Diabetes uncomplicated",,,date_mdy,,,,"[comorbidities(10)] = '1'",,,,,,
diag_date_diabetes_damage,medical_history,,text,"Diagnosis Date of Diabetes with end-organ damage",,,date_mdy,,,,"[comorbidities(30)] = '1'",,,,,,
diag_date_gerd,medical_history,,text,"Diagnosis Date of GERD",,,date_mdy,,,,"[comorbidities(11)] = '1'",,,,,,
diag_date_hemiplegia,medical_history,,text,"Diagnosis Date of Hemiplegia",,,date_mdy,,,,"[comorbidities(29)] = '1'",,,,,,
diag_date_hemodialysis,medical_history,,text,"Diagnosis Date of Hemodialysis",,,date_mdy,,,,"[comorbidities(12)] = '1'",,,,,,
diag_date_hepatitis_b,medical_history,,text,"Diagnosis Date of Hepatitis B",,,date_mdy,,,,"[comorbidities(13)] = '1'",,,,,,
diag_date_hepatitis_c,medical_history,,text,"Diagnosis Date of Hepatitis C",,,date_mdy,,,,"[comorbidities(14)] = '1'",,,,,,
diag_date_hiv,medical_history,,text,"Diagnosis Date of HIV",,,date_mdy,,,,"[comorbidities(15)] = '1'",,,,,,
diag_date_hyperlipidemia,medical_history,,text,"Diagnosis Date of Hyperlipidemia",,,date_mdy,,,,"[comorbidities(16)] = '1'",,,,,,
diag_date_hypertension,medical_history,,text,"Diagnosis Date of Hypertension",,,date_mdy,,,,"[comorbidities(17)] = '1'",,,,,,
diag_date_leukemia,medical_history,,text,"Diagnosis Date of Leukemia",,,date_mdy,,,,"[comorbidities(32)] = '1'",,,,,,
diag_date_liver_mild,medical_history,,text,"Diagnosis Date of Mild Liver Disease",,,date_mdy,,,,"[comorbidities(28)] = '1'",,,,,,
diag_date_liver_mod_severe,medical_history,,text,"Diagnosis Date of Moderate and Severe Liver Disease",,,date_mdy,,,,"[comorbidities(34)] = '1'",,,,,,
diag_date_local_sld_tumr,medical_history,,text,"Diagnosis Date of Localized solid tumor",,,date_mdy,,,,"[comorbidities(31)] = '1'",,,,,,
diag_date_lymphoma,medical_history,,text,"Diagnosis Date of Lymphoma",,,date_mdy,,,,"[comorbidities(33)] = '1'",,,,,,
diag_date_met_sld_tumr,medical_history,,text,"Diagnosis Date of Metastatic solid tumor",,,date_mdy,,,,"[comorbidities(35)] = '1'",,,,,,
diag_date_musculosk_pain,medical_history,,text,"Diagnosis Date of Musculoskeletal pain",,,date_mdy,,,,"[comorbidities(18)] = '1'",,,,,,
diag_date_mi_cad,medical_history,,text,"Diagnosis Date of Myocardial Infraction/Coronary Artery Disease",,,date_mdy,,,,"[comorbidities(19)] = '1'",,,,,,
diag_date_obesity,medical_history,,text,"Diagnosis Date of Obesity",,,date_mdy,,,,"[comorbidities(20)] = '1'",,,,,,
diag_date_pancreatitis,medical_history,,text,"Diagnosis Date of Pancreatitis",,,date_mdy,,,,"[comorbidities(22)] = '1'",,,,,,
diag_date_peptic_ulcer,medical_history,,text,"Diagnosis Date of Peptic ulcer disease",,,date_mdy,,,,"[comorbidities(27)] = '1'",,,,,,
diag_date_peri_neuropathy,medical_history,,text,"Diagnosis Date of Peripheral Neuropathy",,,date_mdy,,,,"[comorbidities(23)] = '1'",,,,,,
diag_date_peri_vascular,medical_history,,text,"Diagnosis Date of Peripheral vascular disease",,,date_mdy,,,,"[comorbidities(24)] = '1'",,,,,,
aid_hx,medical_history,"Autoimmune Disease",yesno,"Does this patient have a history of autoimmune disease?

",,,,,,,,,,,,,
aid_type,medical_history,,checkbox,"Which autoimmune condition does this patient have?","1, Addison's disease | 2, Alopecia Areata | 3, Ankylosing spondylitis | 4, Antiphospholipid | 5, Autoimmune hemolytic anemia | 6, Autoimmune hepatitis | 7, Autoimmune NOS | 8, Celiac Disease | 9, Crohn Disease | 10, Dermatopolymyositis | 11, Exczema | 12, Giant-cell arteritis | 13, Guillain - Barre syndrome | 14, Hashimoto disease | 15, Hypothyroidism | 16, Hyperthyroidism | 17, Idiopathic thrombocytopenic purpura | 18, Iridocyclitis | 19, Meniere disease | 20, Multiple sclerosis | 21, Myasthenia gravis | 22, Pernicious anemia | 23, Pemphigus | 24, Polyarteritis nodosa | 25, Polymyalgia rheumatica | 26, Primary biliary cirrhosis | 27, Psoriasis | 28, Pyoderma gangrenosum | 29, Rheumatoid arthritis | 30, Sarcoidosis | 31, Scleroderma | 32, Sicca sundrome | 33, Sweet syndrome | 34, Sjogren syndrome | 35, Systemic lupus erythematosus | 36, Systemic sclerosis | 37, Thyrotoxicosis | 38, Type 1 diabetes mellitus | 39, Ulcerative colitis | 40, Vitiligo | 41, Wegener granulomatosis | 42, Cannot be assessed",,,,,,"[aid_hx] = '1'",,,,,,
aid_active,medical_history,,yesno,"Is this patients autoimmune disease active?",,,,,,,"[aid_hx] = '1'",,,,,," @HIDDEN"
aid_steroids,medical_history,,yesno,"If active, does this patient currently take steroids?",,,,,,,"[aid_hx] = '1'",,,,,," @HIDDEN"
aid_steroid_dose,medical_history,,text,"Dose of steroids",,"mg daily ",,,,,"[aid_steroids] = '1'",,,,,," @HIDDEN"
aid_othertherapy,medical_history,,text,"Mention Other therapies ",,,,,,,,,,,,," @HIDDEN"
hiv_currenttx,medical_history,HIV,text,"Current treatment 

",,,,,,,"[comorbidities(15)] = '1'",,,,,," @HIDDEN"
hiv_prerx,medical_history,,text,"HIV viral load Pre-Rx",,,,,,,"[comorbidities(15)] = '1'",,,,,," @HIDDEN"
hiv_postrx,medical_history,,text,"HIV viral load Post-Rx",,,,,,,"[comorbidities(15)] = '1'",,,,,," @HIDDEN"
hive_cd4prerx,medical_history,,text,"CD 4 Count Pre-Rx",,,,,,,"[comorbidities(15)] = '1'",,,,,," @HIDDEN"
hiv_cd4postrx,medical_history,,text,"CD 4 Count Post-Rx or at progression",,,,,,,"[comorbidities(15)] = '1'",,,,,," @HIDDEN"
ckd_stage,medical_history,CKD,radio,"CKD Stage","1, II | 2, IIIa | 5, IIIb | 6, IV | 7, V",,,,,,"[comorbidities(4)] = '1'",,,,,," @HIDDEN"
ckd_hemodialysis,medical_history,,yesno,Hemodialysis,,,,,,,"[comorbidities(4)] = '1'",,,,,," @HIDDEN"
chf_yesno,medical_history,CHF,radio,CHF,"1, Yes | 2, No",,,,,,,,,,,," @HIDDEN"
chf_stage,medical_history,,radio,"CHF NYHA Stage","1, I | 2, II | 3, III | 4, IV",,,,,,"[comorbidities(7)] = '1'",,,,,," @HIDDEN"
chf_ef_prerx,medical_history,,text,"Ejection Fraction at the Pre-Rx ",,,,,,,"[comorbidities(7)] = '1'",,,,,," @HIDDEN"
chf_ef_postrx,medical_history,,text,"Ejection Fraction at the Post-Rx ",,,,,,,"[comorbidities(7)] = '1'",,,,,," @HIDDEN"
asth_steroidinhale,medical_history,Asthma,yesno,"On inhaled steroids",,,,,,,"[comorbidities(2)] = '1'",,,,,," @HIDDEN"
asth_steroidtypeinh,medical_history,,text,"If yes, specify type of steroid",,,,,,,"[asth_steroidinhale] = '1'",,,,,," @HIDDEN"
asth_steroiddose,medical_history,,text,"Specify the dose of the steroid",,,,,,,"[asth_steroidinhale] = '1'",,,,,," @HIDDEN"
asth_posteroids,medical_history,,yesno,"Is this patient on PO steroids?",,,,,,,"[comorbidities(2)] = '1'",,,,,," @HIDDEN"
asth_steroidtypeoral,medical_history,,radio,"If yes, specify type of steroid",,,,,,,,,,,,," @HIDDEN"
asth_posteroid_dose,medical_history,,text,"Specify dose of PO steroid",,,,,,,"[asth_posteroids] = '1'",,,,,," @HIDDEN"
copd_steroidinhale,medical_history,COPD,yesno,"Is the patient on inhaled steroids?",,,,,,,"[comorbidities(6)] = '1'",,,,,," @HIDDEN"
copd_steroidtypeinh,medical_history,,text,"If yes, specify type of inhaled steroid",,,,,,,"[comorbidities(6)] = '1' and [copd_steroidinhale] = '1'",,,,,,
copd_steroiddose,medical_history,,text,"Specify the dose of the steroid",,,,,,,"[copd_steroidinhale] = '1' and [copd_steroidinhale] = '1'",,,,,," @HIDDEN"
copd_posteroids,medical_history,,yesno,"Is this patient on PO steroids?",,,,,,,"[comorbidities(6)] = '1'",,,,,," @HIDDEN"
copd_steroidtypeoral,medical_history,,text,"Specify type of PO steroid",,,,,,,"[comorbidities(6)] = '1' and [copd_posteroids] = '1'",,,,,," @HIDDEN"
copd_posteroid_dose,medical_history,,text,"Specify dose of PO steroid",,,,,,,"[comorbidities(6)] = '1' and [copd_posteroids] = '1'",,,,,," @HIDDEN"
num_cancer_fam,medical_history,"Family History",radio,"How many members of  patient's family have a history of cancer?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more | 5, Unk",,,,,,,,,,,,
fam_hist_mem_rel_1,medical_history,,dropdown,"Family member #1: Relationship","1, Aunt (Paternal) | 2, Aunt (Maternal) | 3, Brother | 4, Cousin | 5, Dad | 6, Daughter | 7, Father | 8, Grandchild | 9, Grandfather (Paternal) | 10, Grandfather (Maternal) | 11, Grandmother (Paternal) | 12, Grandmother (Maternal) | 13, Great-grandparents | 14, Half-brother | 22, Twin-brother | 15, Mother | 16, Nephew | 17, Other | 18, Niece | 19, Sister | 20, Son | 21, Twin | 23, Twin-sister | 24, Uncle (Paternal) | 25, Uncle (Maternal)",,autocomplete,,,,"[num_cancer_fam] = '1' OR [num_cancer_fam] = '2' OR [num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancer_1,medical_history,,dropdown,"Family member #1: Cancer history","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other",,autocomplete,,,,"[num_cancer_fam] = '1' OR [num_cancer_fam] = '2' OR [num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancerothr_1,medical_history,,text,"Family member #1: Please specify which cancer",,,,,,,"[fam_hist_mem_cancer_1] = '37'",,,,,,
fam_hist_mem_rel_2,medical_history,,dropdown,"Family member #2: Relationship","1, Aunt (Paternal) | 2, Aunt (Maternal) | 3, Brother | 4, Cousin | 5, Dad | 6, Daughter | 7, Father | 8, Grandchild | 9, Grandfather (Paternal) | 10, Grandfather (Maternal) | 11, Grandmother (Paternal) | 12, Grandmother (Maternal) | 13, Great-grandparents | 14, Half-brother | 22, Twin-brother | 15, Mother | 16, Nephew | 17, Other | 18, Niece | 19, Sister | 20, Son | 21, Twin | 23, Twin-sister | 24, Uncle (Paternal) | 25, Uncle (Maternal)",,autocomplete,,,,"[num_cancer_fam] = '2' OR [num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancerothr_2,medical_history,,text,"Family member #2: Please specify which cancer",,,,,,,"[fam_hist_mem_cancer_2] = '37'",,,,,,
fam_hist_mem_cancer_2,medical_history,,dropdown,"Family member #2: Cancer history","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other",,autocomplete,,,,"[num_cancer_fam] = '2' OR [num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_rel_3,medical_history,,dropdown,"Family member #3: Relationship","1, Aunt (Paternal) | 2, Aunt (Maternal) | 3, Brother | 4, Cousin | 5, Dad | 6, Daughter | 7, Father | 8, Grandchild | 9, Grandfather (Paternal) | 10, Grandfather (Maternal) | 11, Grandmother (Paternal) | 12, Grandmother (Maternal) | 13, Great-grandparents | 14, Half-brother | 22, Twin-brother | 15, Mother | 16, Nephew | 17, Other | 18, Niece | 19, Sister | 20, Son | 21, Twin | 23, Twin-sister | 24, Uncle (Paternal) | 25, Uncle (Maternal)",,autocomplete,,,,"[num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancer_3,medical_history,,dropdown,"Family member #3: Cancer history","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other",,autocomplete,,,,"[num_cancer_fam] = '3' OR [num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancerothr_3,medical_history,,text,"Family member #3: Please specify which cancer",,,,,,,"[fam_hist_mem_cancer_3] = '37'",,,,,,
fam_hist_mem_rel_4,medical_history,,dropdown,"Family member #4: Relationship","1, Aunt (Paternal) | 2, Aunt (Maternal) | 3, Brother | 4, Cousin | 5, Dad | 6, Daughter | 7, Father | 8, Grandchild | 9, Grandfather (Paternal) | 10, Grandfather (Maternal) | 11, Grandmother (Paternal) | 12, Grandmother (Maternal) | 13, Great-grandparents | 14, Half-brother | 22, Twin-brother | 15, Mother | 16, Nephew | 17, Other | 18, Niece | 19, Sister | 20, Son | 21, Twin | 23, Twin-sister | 24, Uncle (Paternal) | 25, Uncle (Maternal)",,autocomplete,,,,"[num_cancer_fam] = '4'",,,,,,
fam_hist_mem_cancerothr_4,medical_history,,text,"Family member #4: Please specify which cancer",,,,,,,"[fam_hist_mem_cancer_4] = '37'",,,,,,
fam_hist_mem_cancer_4,medical_history,,dropdown,"Family member #4: Cancer history","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other",,autocomplete,,,,"[num_cancer_fam] = '4'",,,,,,
currentcancer,current_cancer_hx,"Cancer by site",radio,"Current Cancer Diagnosis for which immunotherapy is being used","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other","Latest pirmary cancer in the diagnoses table",,,,,,,,,,,
multiple_primary,current_cancer_hx,,text,"If multiple, specify which cancers ",,,,,,,"[currentcancer] = '38'",,,,,,
other_cancer,current_cancer_hx,,text,"If other, specify the current cancer diagnosis",,,,,,,"[currentcancer] = '37'",,,,,,
