"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
aml_subtype,current_cancer_hx,,checkbox,"AML subtype","1, AML with minimal differentiation (M0) | 2, AML without maturation (M1) | 3, AML with maturation (M2) | 4, Acute promyelocytic leukemia leukemia (M3) | 5, Acute myelomonocytic leukemia (M4) | 6, Acute monoblastic and monocytic leukemia (M5) | 7, Pure erythroid leukemia (M6) | 8, Acute megakaryoblastic leukemia (M7) | 9, Other",,,,,,"[currentcancer] = '1'",,,,,,
hist_all,current_cancer_hx,,checkbox,"Specify the subtype of acute lymphoblastic leukemia ","1, Ph + ALL | 2, PH - ALL | 3, Other",,,,,,"[currentcancer] = '2'",,,,,,
hist_anal,current_cancer_hx,,checkbox,"Specify the subtype of anal carcinoma 
","1, Localized | 2, Metastatic | 3, Other",,,,,,"[currentcancer] = '3'",,,,,,
hist_bladder,current_cancer_hx,,checkbox,"Specify the subtype of bladder cancer 

","1, Non muscle invasive | 2, Muscle invasive | 3, Metastatic | 4, Renal Pelvis | 5, Urothelial Carcinoma of the ureter | 6, Urothelial Carcinoma of the prostate | 7, Primary carcinoma of the Urethra | 8, Other",,,,,,"[currentcancer] = '4'",,,,,,
hist_bone,current_cancer_hx,,checkbox,"Specify the subtype of bone cancer","1, Chondrosarcoma | 2, Chordoma | 3, Ewing's sarcoma family of tumors | 4, Giant cell tumor of the bone | 5, Osteosarcoma | 6, Other",,,,,,"[currentcancer] = '5'",,,,,,
hist_breast,current_cancer_hx,,checkbox,"Specify the subtype of breast cancer","1, Invasive  Ductal | 2, Lobular | 3, Mixed | 4, Metaplastic | 5, Mucinous | 6, Tubular | 7, Lobular Carcinoma in situ (LICS) | 8, Ductal Carcinoma in situ (DICS) | 9, Other",,,,,,"[currentcancer] = '7'",,,,,,
hist_cns,current_cancer_hx,,checkbox,"Specify the subtype of central nervous system tumors ","1, Adult Low-Grade Infiltrative Supratentorial Astrocytoma | 2, Oligodendroglioma (excluding pilocytic astrocytoma) | 3, Anaplastic Gliomas/Glioblastoma | 4, Adult Intracranial Ependymoma | 5, Adult Medulloblastoma | 6, Primary CNS Lymphoma | 7, Primary Spinal Cord Tumors | 8, Meningiomas | 9, Limited (1-3) Brain Metastases | 10, Multiple (>3) Brain Metastases | 11, Leptomeningeal Metastases | 12, Metastatic Spine Tumors | 13, Other",,,,,,"[currentcancer] = '8'",,,,,,
hist_gi,current_cancer_hx,,checkbox,"Specify the subtype of GI cancer","1, Colon Cancer | 8, Cholangio Carcinoma | 5, Esophageal Cancer | 3, Gastric Cancer | 7, Hepatocellulcar Carcinoma (HCC) | 4, Pancreatic Cancer | 2, Rectal Cancer | 6, Other",,,,,,"[currentcancer] = '12'",,,,,,
hist_headneck,current_cancer_hx,,checkbox,"Specify the subtype of head and neck tumors ","1, Cancer of the Lip | 2, Cancer of the Oral Cavity | 3, Cancer of the Oropharynx | 4, Cancer of the Hypopharynx | 5, Cancer of the Nasopharynx | 6, Cancer of the Glottic Larynx | 7, Cancer of the Supraglottic Larynx | 8, Ethmoid Sinus Tumors | 9, Maxillary Sinus Tumors | 11, Occult Primary | 12, Salivary Gland Tumors | 13, Other",,,,,,"[currentcancer] = '13'",,,,,,
hist_hodgkinlymph,current_cancer_hx,,checkbox,"Specify the subtype of hodgkin lymphoma ","1, Classical Hodgkins lymphoma | 2, Nodular lymphocyte predominant Hodgkin lymphoma | 3, Other",,,,,,"[currentcancer] = '14'",,,,,,
hist_melanoma,current_cancer_hx,,checkbox,"Specify the subtype of melanoma","1, Mucosal | 2, Uveal | 3, Choroidal | 4, Cutaneous | 5, Other",,,,,,"[currentcancer] = '18'",,,,,,
hist_neuroendo,current_cancer_hx,,checkbox,"Specify the subtype of neuroendocrine tumors","1, Neuroendocrine Tumors of the GI | 2, Neuroendocrine Tumors of the Lung | 3, Neuroendocrine Tumors of the Thymus | 4, Neuroendocrine Tumors of the Pancreas | 5, Neuroendocrine Unknown Primary | 6, Pheochromocytoma | 7, Paraganglioma | 8, neuroendocrine tumors - high grade | 9, neuroendocrine tumors - anaplastic | 10, neuroendocrine tumors - small cell | 11, Multiple Endocrine Neoplasia, Type 1 | 12, Multiple Endocrine Neoplasia, Type 2 | 13, Other",,,,,,"[currentcancer] = '21'",,,,,,
hist_nonhodgkin,current_cancer_hx,,checkbox,"Specify the subtype of Non-Hodgkin's lymphomas","1, Follicular Lymphoma | 2, Gastric MALT Lymphoma | 3, Nongastric MALT Lymphoma | 4, Nodal Marginal Zone Lymphoma | 5, Splenic Marginal Zone Lymphoma | 6, Mantle Cell Lymphoma | 7, Diffuse Large B-Cell Lymphoma | 8, Burkitt Lymphoma | 9, AIDS-Related B-Cell Lymphomas | 10, Castleman's Disease | 11, Other",,,,,,"[currentcancer] = '22'",,,,,,
hist_tcell_lymph,current_cancer_hx,,checkbox,"Specify the subtype of T cell lymphomas 
","1, Peripheral T-Cell Lymphoma, Noncutaneous | 2, Breast Implant-Associated Anaplastic Large Cell Lymphoma (ALCL) | 3, Mycosis Fungoides/SÃ©zary Syndrome | 4, Primary Cutaneous CD30+ T-Cell Lymphoproliferative Disorders | 5, T-cell Large Granular Lymphocytic Leukemia | 6, Adult T-Cell Leukemia | 7, Adult T-Cell Lymphoma | 8, T-Cell Prolymphocytic Leukemia | 9, Extranodal NK/T-Cell Lymphoma, nasal type | 10, Other",,,,,,"[currentcancer] = '29'",,,,,,
hist_nonmelanoma,current_cancer_hx,,checkbox,"Specify the subtype of non-melanoma skin cancer 
","1, Basal Cell skin cancer | 2, Dermatofibrosarcoma Protuberans | 3, Merkel Cell Carcinoma | 4, Squamous Cell Skin Cancer | 5, Other",,,,,,"[currentcancer] = '23'",,,,,,
hist_lung,current_cancer_hx,,checkbox,"Specify the subtype of lung cancer 
","1, NSCLC adenocarcinoma | 2, NSCLC squamous | 3, NSCLC large cell | 4, SCLC | 5, Neuroendocrine tumors | 6, Other",,,,,,"[currentcancer] = '16'",,,,,,
lymphoma_other,current_cancer_hx,,text,"Specify Lymphoma, Other",,,,,,,"[currentcancer] = '17'",,,,,,
hist_softtiss_sarcoma,current_cancer_hx,,checkbox,"Specify the subtype of soft tissue sarcoma 
","1, Desmoid Tumors | 2, Extremity | 3, Gastrointestinal Stromal Tumors (GIST) | 4, Rhabdomyosarcoma | 5, Retroperitoneal/Intra-Abdominal | 6, Peritoneal | 7, Other",,,,,,"[currentcancer] = '27'",,,,,,
hist_thyroid,current_cancer_hx,,checkbox,"Specify the subtype of thyroid cancer","2, Papillary Carcinoma | 3, Follicular Carcinoma | 4, HÃ¼rthle Cell Neoplasm | 5, Medullary Carcinoma | 6, Anaplastic Carcinoma | 7, Other",,,,,,"[currentcancer] = '32'",,,,,,
hist_uterine,current_cancer_hx,,checkbox,"Specify the subtype of uterine neoplasms","1, Endometrial Cancer | 2, Uterine Sarcoma | 3, Other",,,,,,"[currentcancer] = '33'",,,,,,
other_cancersubtype,current_cancer_hx,,text,"Is other, please specify the cancer subtype",,,,,,,"[aml_subtype(9)] = '1' or [hist_all(3)] = '1' or [hist_anal(3)] = '1' or [hist_bladder(8)] = '1' or [hist_bone(6)] = '1' or [hist_breast(9)] = '1' or [hist_cns(13)] = '1' or [hist_gi(6)] = '1' or [hist_headneck(13)] = '1' or [hist_hodgkinlymph(3)] = '1' or [hist_melanoma(5)] = '1' or [hist_neuroendo(13)] = '1' or [hist_nonhodgkin(11)] = '1' or [hist_tcell_lymph(10)] = '1' or [hist_nonmelanoma(5)] = '1' or [hist_lung(6)] = '1' or [hist_softtiss_sarcoma(7)] = '1' or [hist_thyroid(7)] = '1' or [hist_uterine(3)] = '1'",,,,,,
stage,current_cancer_hx,,radio,"Cancer stage at which the patient is receiving treatment","1, In situ | 2, I | 3, IA | 4, IB | 5, IC | 6, In Situ and I combined for bladder only | I, NOS | 7, II | 8, IIA | 9, IIB | 10, IIC | II, NOS | 11, III | 12, IIIA | 13, IIIB | 14, IIIC | III, NOS | 15, IV | 16, IVA | 17, IVB | IV, NOS | 18, Incomplete records",,,,,,,,,,,,
onsetdate,current_cancer_hx,,text,"Onset Date (biopsy date or radiology imaging which lead to treatment decision for I-O therapy)",,,date_mdy,,,,,,,,,,
onset_cancerreg,current_cancer_hx,,text,"Onset date as per cancer registry",,,date_mdy,,,,,,,,,,
met_iotx,current_cancer_hx,"Metastases History",yesno,"Was metastatic disease present before IO therapy",,,,,,,,,,,,,
metastasis,current_cancer_hx,,checkbox,Metastasis,"1, Brain | 2, Liver | 3, Lung | 4, Bone | 5, Peritoneal | 6, Pleural | 7, Lymph nodes | 8, Adrenal | 9, Soft tissue (skin, subcutaneous) | 10, Other Visceral Organs",,,,,,"[met_iotx] = '1'",,,,,,
other_metastasis,current_cancer_hx,,text,"If other, please specify",,,,,,,"[metastasis(5)] = '1'",,,,,,
metastatic_sites,current_cancer_hx,,radio,"Total number of metastatic sites","0, 0 | 1, 1 | 2, 2 | 3, 3 or more",,,,,,"[met_iotx] = '1'",,,,,,
unreseactable_yn,current_cancer_hx,,yesno,"Does the patient have unresectable disease?",,,,,,,"[met_iotx] = '0'",,,,,,
msi_status,current_cancer_hx,,radio,"MicroSatellite Instability (MSI) status","1, High | 2, Low | 3, Stable | 4, Unknown",,,,,,,,,,,,
brainmets_baseline_ldh,current_cancer_hx,"Brain Metastases",text,"Baseline LDH",,,,,,,"[metastasis(1)] = '1'",,,,,,
brainmets_baseline_ldh_uln,current_cancer_hx,,text,"Upper limit of normal (ULN) of LDH",,,,,,,"[metastasis(1)] = '1'",,,,,,
date_init_brain_met,current_cancer_hx,,text,"Date of initial MRI when brain met was identified",,,date_mdy,,,,"[metastasis(1)] = '1'",,,,,,
date_brain_before_io,current_cancer_hx,,text,"Date of MRI brain",,"right before current I-O therapy",date_mdy,,,,"[metastasis(1)] = '1'",,,,,,
num_brain_mets_beg_io,current_cancer_hx,,text,"Total number of brain metastasis at the beginning of the I-O therapy (both treated and untreated)
",,,,,,,"[metastasis(1)] = '1'",,,,,,
brain_mets_location,current_cancer_hx,,checkbox,Location,"1, Cortex | 2, Cerebellum | 3, Brain stem | 4, Spinal cord","at the beginning of I-O therapy",,,,,"[metastasis(1)] = '1'",,,,,,
brain_mets_treated_before,current_cancer_hx,,yesno,"Was any brain metastasis treated before beginning of I-O therapy?",,,,,,,"[metastasis(1)] = '1'",,,,,,
num_brain_mets_before_io,current_cancer_hx,,dropdown,"Number of brain mets treated before I-O therapy","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 or more",,,,,,"[metastasis(1)] = '1' and [brain_mets_treated_before] = '1'",,,,,,
type_tx_brain_mets,current_cancer_hx,,checkbox,"Type of treatments of brain mets","1, RT - whole brain radiation | 2, RT -cyber knife; or RT steriostatic | 3, Surgery | 4, Surgery and RT",,,,,,"[metastasis(1)] = '1' and [brain_mets_treated_before] = '1'",,,,,,
date_brain_tx_rt_wbr,current_cancer_hx,,text,"Date of whole brain radiation",,"before current I-O therapy",date_mdy,,,,"[brain_mets_treated_before] = '1' and [type_tx_brain_mets(1)] = '1'",,,,,,
date_brain_tx_rt_ck,current_cancer_hx,,text,"Date of radiation cyber knife or steriostatic",,"before current I-O therapy",date_mdy,,,,"[brain_mets_treated_before] = '1' and [type_tx_brain_mets(2)] = '1'",,,,,,
date_brain_tx_surgery,current_cancer_hx,,text,"Date of surgery",,"before current I-O therapy",date_mdy,,,,"[brain_mets_treated_before] = '1' and [type_tx_brain_mets(3)] = '1'",,,,,,
date_brain_tx_rt_surgery,current_cancer_hx,,text,"Date of surgery and radiation",,"before current I-O therapy",date_mdy,,,,"[brain_mets_treated_before] = '1' and [type_tx_brain_mets(4)] = '1'",,,,,,
rt_necrosis_yn,current_cancer_hx,,yesno,"Radiation Necrosis",,,,,,,"[metastasis(1)] = '1' and [brain_mets_treated_before] = '1' and ([type_tx_brain_mets(1)] = '1' or [type_tx_brain_mets(2)] = '1' or [type_tx_brain_mets(4)] = '1')",,,,,,
rt_necrosis_streoids_yn,current_cancer_hx,,yesno,"Were steroids used?",,,,,,,"[rt_necrosis_yn] = '1'",,,,,,
rt_necrosis_bevacizumab_yn,current_cancer_hx,,yesno,"Was Bevacizumab used?",,,,,,,"[rt_necrosis_yn] = '1'",,,,,,
untx_brain_mets_yn,current_cancer_hx,,yesno,"Were there any untreated brain mets present at beginning of I-O therapy?",,,,,,,"[metastasis(1)] = '1'",,,,,,
untx_brain_mets_prg_yn,current_cancer_hx,,yesno,"Did the untreated brain mets progress or new lesions develop (during I-O therapy)?",,,,,,,"[untx_brain_mets_yn] = '1'",,,,,,
untx_brain_mets_prg_type,current_cancer_hx,,checkbox,"Untreated brain mets progression or new lesions","1, new lesion | 2, increase in size",,,,,,"[untx_brain_mets_prg_yn] = '1'",,,,,,
untx_brain_mets_status,current_cancer_hx,,radio,"Did the untreated brain mets ....?","1, Resolve | 2, Decrease in size (During I-O therapy) | 3, No change in size",,,,,,"[untx_brain_mets_prg_yn] = '0'",,,,,,
date_untx_brain_mets_mri,current_cancer_hx,,text,"Date of MRI used to identify untreated brain mets status ",,,date_mdy,,,,"[untx_brain_mets_yn] = '1' or [untx_brain_mets_yn] = '0'",,,,,,
brainmets_tx_duringio_yn,current_cancer_hx,,yesno,"Was there a new brain mets treated during I-O therapy?",,,,,,,"[metastasis(1)] = '1'",,,,,,
typtx_brainmets_during_io,current_cancer_hx,,checkbox,"Type of treatments of brain mets","1, RT - whole brain radiation | 2, RT - cyber knife | 3, RT - steriostatic | 4, Surgery | 5, Surgery and RT",,,,,,"[brainmets_tx_duringio_yn] = '1'",,,,,,
brainmets_tx_duringio_yn_2,current_cancer_hx,,yesno,"Was there an additional brain mets treated during I-O therapy?",,,,,,,"[brainmets_tx_duringio_yn] = '1'",,,,,,
typtx_brainmets_during_io_2,current_cancer_hx,,checkbox,"Type of treatments of brain mets","1, RT - whole brain radiation | 2, RT - cyber knife | 3, RT - steriostatic | 4, Surgery | 5, Surgery and RT",,,,,,"[brainmets_tx_duringio_yn_2] = '1'",,,,,,
brainmets_tx_duringio_yn_3,current_cancer_hx,,yesno,"Was there an additional brain mets treated during I-O therapy?",,,,,,,"[brainmets_tx_duringio_yn_2] = '1'",,,,,,
typtx_brainmets_during_io_3,current_cancer_hx,,checkbox,"Type of treatments of brain mets","1, RT - whole brain radiation | 2, RT - cyber knife | 3, RT - steriostatic | 4, Surgery | 5, Surgery and RT",,,,,,"[brainmets_tx_duringio_yn_3] = '1'",,,,,,
brainmets_neuro_symptoms,current_cancer_hx,,yesno,"Neuro Symptoms - Headaches, weakness, or paresthesia",,,,,,,"[metastasis(1)] = '1'",,,,,,
brainmets_new_prg_disc_io,current_cancer_hx,,yesno,"Did the patient develop any new brain mets or his existing brain mets progressed after discontinuing I-O therapy?  ",,,,,,,"[metastasis(1)] = '1'",,,,,,
date_mri_prg_disc_io,current_cancer_hx,,yesno,"Date MRI suggesting progression or new lesions after discontinuing I-O therapy ",,,,,,,"[brainmets_new_prg_disc_io] = '1'",,,,,,
mut_egfr,current_cancer_hx,"Patient mutation Status",radio,EGFR,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_alk,current_cancer_hx,,radio,ALK,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_kras,current_cancer_hx,,radio,KRAS,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_braf,current_cancer_hx,,radio,BRAF,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_nras,current_cancer_hx,,radio,NRAS,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_ros,current_cancer_hx,,radio,ROS,"1, Mutation present | 2, Wild type | 3, Unknown",,,,,,,,,,mutation_status1,,
mut_er,current_cancer_hx,,radio,ER,"1, Positive | 2, Negative | 3, Unknown",,,,,,,,,,mutation_status2,,
mut_pr,current_cancer_hx,,radio,PR,"1, Positive | 2, Negative | 3, Unknown",,,,,,,,,,mutation_status2,,
mut_her2,current_cancer_hx,,radio,HER2,"1, Positive | 2, Negative | 3, Unknown",,,,,,,,,,mutation_status2,,
test_pdl1,current_cancer_hx,,radio,"Was PD-L1 tested in this patient?","1, Yes | 2, No | 3, Unknown",,,,,,,,,,,,
mut_pdl1,current_cancer_hx,,text,"If tested, report the percent of PD L -1 expression",," (%)",,,,,"[test_pdl1] = '1'",,,,,,
pdli_test,current_cancer_hx,,radio,"Test used to check PD L -1 expression 
","1, Ventana SP263 assay | 2, Dako 22C3 assay | 3, Dako 28-8 assay",,,,,,,,,,,," @HIDDEN"
mut_other,current_cancer_hx,,text,"Other mutations this patient was tested for ",,,,,,,,,,,,,
caris_nextgenseq,current_cancer_hx,,radio,"Caris next generation sequencing done","1, Yes | 2, No",,,,,,,,,,,,
prev_cancer_hx,current_cancer_hx,"Cancer History",yesno,"Does this patient have previous history of cancer prior to the current cancer that IO is given for?",,,,,,,,,,,,,
prev_cancer_hx_type,current_cancer_hx,,checkbox,"Please specify what history of cancer type this patient had","1, Acute myeloid leukemia | 2, Acute lymphoblastic leukemia | 3, Anal Carcinoma | 4, Bladder Cancer | 5, Bone Cancer | 6, Brain Cancer | 7, Breast Cancer | 8, Central Nervous system tumors | 9, Cervical Cancer | 10, Chronic Lymphocytic Leukemia/Small lymphocytic lymphoma | 11, Chronic Myeloid Leukemia | 12, GI Cancers | 13, Head and Neck tumors | 14, Hodgkin Lymphoma | 15, Kidney Cancer | 16, Lung Cancer | 17, Lymphoma, other | 18, Melanoma | 19, Myelodysplastic Syndrome | 20, Myleproliferative Neoplasms | 21, Neuroendocrine Tumors | 22, Non-Hodgkin's Lymphomas | 23, Non-Melanoma Skin Cancer | 24, Ovarian Cancer | 25, Penile Cancer | 26, Prostate Cancer | 27, Soft tissue Sarcoma | 28, Systemic Light chain Amyloidosis | 29, T cell Lymphomas | 30, Testicular Cancer | 31, Thymomas and thymic cancer | 32, Thyroid Cancer | 33, Uterine Neoplasms | 34, Vaginal Cancer | 35, Vulvar Cancer | 36, Waldenstrom's Macroglobulinemia/ Lymphoplamacytic Lymphoma | 38, Multiple Primary | 37, Other",,,,,,"[prev_cancer_hx] = '1'",,,,,,
prev_cancer_history_other,current_cancer_hx,,text,"Please specify which other cancer",,,,,,,"[prev_cancer_hx] = '1'",,,,,,
ecog_1stdose,treatment_with_immunotherapy,,radio,"ECOG pre treatment","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5","Right before date of first dose ",,,,,,,,,,,
ecog_lastdose,treatment_with_immunotherapy,,radio,"ECOG post treatment","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5","Right after the date of last dose or date of last dose of second agent when COMBO",,,,,,,,,,,
weight,treatment_with_immunotherapy,,text,"Weight before first dose",,,,,,,,,,,,,
weight_unit,treatment_with_immunotherapy,,dropdown,"Indicate the unit for weight","1, kg | 2, lbs",,,,,,,,,,,,
pre_bmi,treatment_with_immunotherapy,,text,"Pre treatment BMI",,,,,,,,,,,,,
pre_bmi_calculated,treatment_with_immunotherapy,,calc,"Pre treatment BMI","if([weight_unit]=1,if([height_unit]=1,[weight]/([height]/100)^(2),[weight]/((([height]/100)/0.39370)^(2))),if([height_unit]=1,([weight]*0.45359237)/(([height]/100)^(2)),([weight]*0.45359237)/((([height]/100)/0.39370)^(2))))",,,,,,,,,,,,
pre_bsa_calculated,treatment_with_immunotherapy,,calc,"Pre treatment BSA","if([weight_unit]=1,if([height_unit]=1,sqrt((([height])*[weight])/3600),sqrt((([height]/0.39370)*[weight])/3600)),if([height_unit]=1,sqrt((([height])*[weight]*0.45359237)/3600),sqrt((([height]/0.39370)*[weight]*0.45359237)/3600)))",,,,,,,,,,,,
post_bmi,treatment_with_immunotherapy,,text,"Post treatment BMI",,,,,,,,,,,,,
current_rx_po_streoids,treatment_with_immunotherapy,,yesno,"Was the patient on steroids at the start of therapy?
",,"-7 days to + 7 day of IO therapy and systemic steroids include PO prednisone > 10mg or equivalent - dexamethasone, methylprednison or solumedrol",,,,,,,,,,,
current_rx_po_doses,treatment_with_immunotherapy,,text,"What dose(s) of steroids did they get?",,"doeses separated by (;)",,,,,"[current_rx_po_streoids] = '1'",,,,,,
prevrx_io_therapy,treatment_with_immunotherapy,,yesno,"Was the patient previously treated with an Immuno-therapy?",,,,,,,,,,,,,
prev_io_agent,treatment_with_immunotherapy,,radio,"Previous Immuno-therapy initial single or combination therapy","1, Nivolumab | 2, Pembrolizumab | 3, Atezolizumab | 4, Durvamulab | 5, Ipilimumab | 6, Avelumab | 7, IL-2 | 8, Interferon | 9, Nivolumab + Ipilumumab | 10, Pembrolizumab + Ipilimumab | 11, Durvalumab + Tremelimumab | 12, Other",,,,,,"[prevrx_io_therapy] = '1'",,LH,,,,
prevrx_io_therapynumber,treatment_with_immunotherapy,,radio,"Number of previous Immuno-therapies  before current Immuno-therapy?
","1, 1 | 2, 2 | 3, 3 | 4, More",,,,,,"[prevrx_io_therapy] = '1'",,,,,,
io_agent1,treatment_with_immunotherapy,,radio,"Current Immuno-therapy initial single or combination therapy","1, Nivolumab | 2, Pembrolizumab | 3, Atezolizumab | 4, Durvamulab | 5, Ipilimumab | 6, Avelumab | 7, IL-2 | 8, Interferon | 9, Nivolumab + Ipilumumab | 10, Pembrolizumab + Ipilimumab | 11, Durvalumab + Tremelimumab | 13, Carboplatin + Pembrolizumab + Pemetrexet | 14, Carboplatin + Paclitaxel + Pembrolizumab | 15, Pembrolizumab + Axitinib | 12, Other",,,,,,,,LH,,,,
current_io_line,treatment_with_immunotherapy,,radio,"Which line of therapy is the patient's current immunotherapy?","1, 1 | 2, 2 | 3, 3 | 4, >=4",,,,,,,,,,,,
first_io_other,treatment_with_immunotherapy,,text,"If other, please specify the drug name",,,,,,,"[io_agent1] = '12'",,,,,,
io_dose1date,treatment_with_immunotherapy,,text,"Date of 1st dose
",,,date_mdy,,,,,,,,,,
io_lastdosedate,treatment_with_immunotherapy,,text,"Date of last dose of combination or initial single agent
",,,date_mdy,,,,,,,,,,
numofdoses,treatment_with_immunotherapy,,text,"Number of doses
",,,number,,,,,,,,,,
lastdosedate_2nd,treatment_with_immunotherapy,,text,"Date of last dose of 2nd agent (maintenance) if initial treatment with COMBO",,,date_mdy,,,,,,,,,,
numdoses_2ndagent,treatment_with_immunotherapy,,text,"Number of doses of second agent
",,,number,,,,,,,,,,
therapy_type,treatment_with_immunotherapy,,checkbox,"What therapies/medication are given concurrently with the current Immunotherapy","1, Targeted | 2, Chemotherapy | 3, Antibiotics | 4, Antiviral | 5, Antifungal | 6, Anti-emetic | 7, Non-oncologic medication, not otherwise specified | 8, Corticosteroids | 9, Other (non-medications)",,,,,,,,,,,," @HIDDEN"
targeted_tx,treatment_with_immunotherapy,,text,"List out the targeted therapy drugs used",,"drugs seperated by (,)",,,,,"[therapy_type(1)] = '1'",,,,,," @HIDDEN"
cheno_tx,treatment_with_immunotherapy,,text,"List out the chemotherapy drugs used",,"drugs seperated by (,)",,,,,"[therapy_type(2)] = '1'",,,,,," @HIDDEN"
antibio_tx,treatment_with_immunotherapy,,text,"List out the antibiotic used",,"drugs seperated by (,)",,,,,"[therapy_type(3)] = '1'",,,,,," @HIDDEN"
antiviral_tx,treatment_with_immunotherapy,,text,"List out the antiviral drugs used",,"drugs seperated by (,)",,,,,"[therapy_type(4)] = '1'",,,,,," @HIDDEN"
antifungal_tx,treatment_with_immunotherapy,,text,"List out the antifungal drugs used",,"drugs seperated by (,)",,,,,"[therapy_type(5)] = '1'",,,,,," @HIDDEN"
antiemetic_tx,treatment_with_immunotherapy,,text,"List out the anti-emetic drugs used",,"drugs seperated by (,)",,,,,"[therapy_type(6)] = '1'",,,,,," @HIDDEN"
nom_tx,treatment_with_immunotherapy,,text,"List out Non Oncology Medication",,,,,,,"[therapy_type(7)] = '1'",,,,,," @HIDDEN"
other_therapy,treatment_with_immunotherapy,,text,"If other, specify drug/s",,,,,,,"[therapy_type(9)] = '1'",,,,,," @HIDDEN"
corticoster_tx,treatment_with_immunotherapy,,text,"List of the corticosteroids used",,,,,,,"[therapy_type(8)] = '1'",,,,,," @HIDDEN"
progression_recist_yn,treatment_with_immunotherapy,,yesno,"Does this patient have disease progression as per RECIST?",,,,,,,,,LH,,,,
progression_date,treatment_with_immunotherapy,,text,"Date of Progression",,"as per RECIST",date_mdy,,,,"[progression_recist_yn] = '1'",,,,,,
pfs,treatment_with_immunotherapy,,text,"Progression Free Survival in months",,"per last radiology imaging date (CT, PET/MRI)",,,,,,,,,,," @HIDDEN"
ttf_yn,treatment_with_immunotherapy,,yesno,"Does this patient have Time to Treatment Failure 
 (TTF) information",,,,,,,,,,,,,
ttf_date,treatment_with_immunotherapy,,text,"Date of Time to Treatment Failure",,"TTF date would be date of change of therapy or referral to hospice or death - which ever comes before",date_mdy,,,,"[ttf_yn] = '1'",,,,,,
ttf,treatment_with_immunotherapy,,text,"Time to treatment failure in months",,,,,,,"[ttf_yn] = '1'",,,,,," @HIDDEN"
ttf_noreason,treatment_with_immunotherapy,,checkbox,"Reason for TTF","1, Unable to access (as patient did not progress, or was lost to follow up) | 2, Switched the therapy | 3, Referral to hospice | 4, Death",,,,,,"[ttf_yn] = '1'",,,,,,
